Session,Week,Suggested Days,Track,Title,Hours,Status,Files to Build,Key Patterns / Concepts,Prerequisites,Notes
1,1,Mon-Tue,A — Agentic Patterns,MCP (Model Context Protocol),2,Not Started,"mcp_server.py, mcp_client.py, claude-desktop.json","JSON-RPC over stdio, tools/list, tools/call, MCP resources, protocol-based tool sharing",agent_chatbot.py,Requires Python 3.10+ for the official mcp SDK
2,1,Wed-Thu,A — Agentic Patterns,Reflection + Plan-and-Execute,2,Not Started,"agent_reflection.py, agent_plan_execute.py","Reflection / Reflexion, Plan-and-Execute, ReWOO, iterative refinement",agent_lg.py,Two of the three canonical post-ReAct patterns
3,1,Sat,A — Agentic Patterns,Multi-agent + Long-term Memory,2,Not Started,"multi_agent.py, long_term_memory.py","Supervisor pattern, Swarm pattern, semantic long-term memory, state sharing via LangGraph channels",production_chatbot.py,Completes the agentic AI taxonomy
4,2,Mon-Tue,B — Workflow & Skill,Spec-Driven Development (SDD),2,Not Started,"spec_driven.py, spec_template.md","Spec-first workflow, structured intermediate artifacts, phase gates, acceptance criteria, HITL approval",structured.py,Production-grade workflow pattern
5,2,Wed-Thu,B — Workflow & Skill,Vibe Coding,2,Not Started,"vibe_coding.py, sandbox.py","Generate-execute-reflect-retry loop, sandboxed code execution, error-driven refinement, iteration budget",agent.py,Improvisational opposite of SDD
6,2,Sat,B — Workflow & Skill,Skill Development (Claude Skills),2,Not Started,"skills/agenticcourse-rag/SKILL.md, skills/agenticcourse-caching/SKILL.md, skills/agenticcourse-guardrails/SKILL.md, test_skills.py","Skill manifests, triggering by description, bundled resources, skill composition, skill vs system-prompt trade-off",NOTES.md,Modular knowledge packaging
7,3,Mon-Tue,C — Alt Architectures,Anthropic SDK / Claude Agent SDK,2,Not Started,"direct_anthropic.py, direct_agent_sdk.py, side_by_side.md","Raw messages.create API, tool_use / tool_result content blocks, Claude Agent SDK, LangChain vs SDK trade-offs",agent.py,Build the same patterns without LangChain
8,3,Wed-Thu,D — Data & Multi-modal,Files & Document AI,2,Not Started,"pdf_qa.py, vision_demo.py, citations_demo.py, batch_processor.py","Native PDF input, vision input, Files API, Citations API, Batches API (50% discount on async)",rag.py,Real-world data handling
9,3,Sat,E — Graph Depth,Custom LangGraph + HITL,2,Not Started,"custom_graph.py, time_travel.py","StateGraph, conditional edges, interrupts, HITL approvals, time-travel debugging, subgraphs",agent_chatbot.py,Beyond create_react_agent
10,4,Mon-Tue,F — Production,Evaluation (Ragas + LangSmith),2,Not Started,"eval_dataset.py, eval.py, regression.py","Golden datasets, the four RAG metrics (faithfulness/answer-relevance/context-precision/context-recall), LangSmith tracing, regression testing for prompts",safe_rag.py,Measurable quality
11,4,Wed-Thu,F — Production,Cost Optimization,2,Not Started,"model_selection.py, cache_audit.py, batch_pipeline.py, prompt_compression.py","Model selection per role (Haiku/Sonnet/Opus), cache hit-rate optimization, Batches API, prompt compression",agent_lg_cached.py,Targets 5-10x cost reduction
12,4,Fri-Sat,F — Production,Streaming + Web UI,2,Not Started,"app.py, static/index.html","Async LCEL (.ainvoke / .astream), Server-Sent Events, async LCEL throughout, per-request thread_id, backpressure",production_chatbot.py,Browser-accessible chatbot
13,4,Sun,F — Production,Production Deployment,2,Not Started,"Dockerfile, docker-compose.yml, fly.toml, monitoring.md","Containerization, deployment platforms (Fly.io, Vercel, Render), secrets, autoscaling, persistent backing stores",app.py from Session 12,Real users on real hardware
14,5,Mon-Tue,G — Architect Skills,System Design Interview,2,Not Started,"interview_notes.md, design_artifacts/ (diagrams only)","Architect judgement, 5-phase interview structure (clarify-constrain-sketch-probe-iterate), trade-off analysis, AI-specific design questions",all prior sessions,No code — whiteboarding only
15,5,Wed-Thu,G — Architect Skills,Red-teaming & Compliance,2,Not Started,"red_team_report.md, model_card.md","Adversarial prompt injection at depth, PII at scale (Presidio), compliance frameworks (GDPR/HIPAA/SOC 2), audit trails, model cards",safe_rag.py,Hardening against real attacks
16,5,Sat,G — Architect Skills,AI Product & UX Patterns,2,Not Started,"ux_audit.md, failure_ux_designs.md","When NOT to use AI, UX for non-determinism, user trust calibration, AI feature scoping, failure UX patterns",all prior sessions,Product thinking complements engineering
17,6,Mon-Tue,H — Healthcare,Healthcare AI Landscape & Compliance,2,Not Started,"healthcare/landscape.md, healthcare/regulatory_map.md","Healthcare stakeholder map, HIPAA/GDPR/FDA SaMD frameworks, deidentification, the cost of being wrong, regulatory grey zones",Sessions 14-16,US/India focus to be picked
